location_id,sample_depth_min,sample_depth_max,SOCc,BD
Boon2_8,27.5,30,0.527,1.6372410970644753
Boon2_8,30,32.5,0.354,1.617978574170884
Boon2_8,32.5,35,0.249,1.6230466310821763
Boon2_8,35,45,0.275,1.445640193106565
Boon2_8,45,55,0.236,1.4126336756470752
Boon2_8,55,57.5,0.213,1.5837982886752346
Boon2_8,57.5,60,0.236,1.5417554743969872
Boon2_8,60,62.5,0.298,1.4077824408154873
Boon2_8,62.5,65,0.421,1.2578445614004132
Boon2_8,65,75,0.228,1.3619321701519305
Boon2_9,15,25,0.31,1.4681485068657736
Boon2_9,25,27.5,0.319,1.4108379390846637
Boon2_9,27.5,30,0.278,1.5176184659297587
Boon2_9,30,32.5,0.247,1.3604712257184282
Boon2_9,32.5,35,0.239,1.6683363448252049
Boon2_9,35,45,0.221,1.4202893243058115
Boon2_9,45,55,0.229,1.4280442191254599
Boon2_9,55,57.5,0.222,1.6202188442590826
Boon2_9,57.5,60,0.234,1.515525561303976
Boon2_9,60,62.5,0.253,1.279217792347805
Boon2_9,62.5,65,0.261,1.4536930923938705
Boon2_9,65,75,0.252,1.3587055971524324
Boon2_10,32.5,35,0.411,1.4209795921045767
Boon2_10,35,45,0.4,1.3005010205861693
Boon2_10,45,55,0.376,1.2663911420303116
Boon2_10,62.5,65,0.293,1.4683523629853759
Boon2_11,0,15,0.979,0.904118332772947
Boon2_11,15,25,0.504,1.3410466136348085
Boon2_11,25,27.5,0.296,1.5562433953433918
Boon2_11,27.5,30,0.301,1.27834653867831
Boon2_11,30,32.5,0.27,1.402802121212294
Boon2_11,32.5,35,0.282,1.3644967663867997
Boon2_11,35,45,0.284,1.3822078611068376
Boon2_12,0,15,0.671,1.2544914064693167
Boon2_12,15,25,0.616,1.3647364608810049
Boon2_12,25,27.5,0.311,1.591738877718119
Boon2_12,27.5,30,0.417,1.3300717532840614
Boon2_12,30,32.5,0.276,1.612060789452883
Boon2_12,32.5,35,0.251,1.481917688677979
Boon2_12,35,45,0.278,1.395231729206626
Boon2_12,45,55,0.239,1.3609541562301646
